호선,역명,구주소,도로명 주소,전화번호
3호선,대청,서울특별시 강남구 개포동 18-10,서울특별시 강남구 일원로 지하 2 (대청역),6110-3471
3호선,일원,서울특별시 강남구 일원본동 214,서울특별시 강남구 일원로 지하 121 (일원역),6110-3481
3호선,수서,서울특별시 강남구 수서동 439-2,서울특별시 강남구 광평로 지하 270 (3호선 수서역),6110-3491
3호선,가락시장,서울특별시 송파구 가락동 184-23,서울특별시 송파구 송파대로 지하 257 (3호선 가락시장역),6110-3501
3호선,경찰병원,서울특별시 송파구 가락동 10-15,서울특별시 송파구 중대로 지하 149 (경찰병원역),6110-3511
3호선,오금,서울특별시 송파구 오금동 44-2,서울특별시 송파구 오금로 지하 321 (3호선 오금역),6110-3521
4호선,당고개,서울특별시 노원구 상계4동 111,서울특별시 노원구 상계로 305 (당고개역),6110-4091
4호선,상계,서울특별시 노원구 상계5동 173,서울특별시 노원구 상계로 182 (상계역),6110-4101
4호선,노원,서울특별시 노원구 상계2동 335,서울특별시 노원구 상계로 69-1 (4호선 노원역),6110-4111
4호선,창동,서울특별시 도봉구 창4동 135,서울특별시 도봉구 마들로 11길 77 (4호선 창동역),6110-4121
4호선,쌍문,서울특별시 도봉구 창1동 659-12,서울특별시 도봉구 도봉로 지하 486-1 (쌍문역),6110-4131
4호선,수유,서울특별시 강북구 수유3동 140,서울특별시 강북구 도봉로 지하 338 (수유역),6110-4141
4호선,미아,서울특별시 강북구 미아3동 197-14,서울특별시 강북구 도봉로 지하 198 (미아역),6110-4151
4호선,미아사거리,서울특별시 강북구 미아4동 71-5,서울특별시 강북구 도봉로 지하 50 (미아삼거리역),6110-4161
4호선,길음,서울특별시 성북구 길음1동 877-66,서울특별시 성북구 동소문로 지하 248 (길음역),6110-4171
4호선,성신여대입구,서울특별시 성북구 동선동 4가 1,서울특별시 성북구 동소문로 지하 102 (성신여대역),6110-4181
4호선,한성대입구,서울특별시 성북구 삼선동 1가 14,서울특별시 성북구 삼선교로 지하 1 (한성대입구역),6110-4191
4호선,혜화,서울특별시 종로구 명륜동 4가 1,서울특별시 종로구 대학로 지하 120 (혜화역),6110-4201
4호선,동대문,서울특별시 종로구 종로6가 69,서울특별시 종로구  율곡로 지하 308 (종로6가) (4호선 동대문역),6110-4211
4호선,동대문역사문화공원,서울특별시 중구 광희동1가 194,서울특별시 중구 장충단로 지하 230 (4호선 동대문역사문화공원역),6110-4221
4호선,충무로,서울특별시 중구 충무로4가 125,서울특별시 중구 퇴계로 지하 199 (충무로역),6110-4231
4호선,명동,서울특별시 중구 충무로1가 64,서울특별시 중구 퇴계로 지하 126 (명동역),6110-4241
4호선,회현,서울특별시 중구 남창동 46,서울특별시 중구 퇴계로 지하 54 (회현역),6110-4251
4호선,서울역,서울특별시 용산구 동자동 14,서울특별시 용산구 한강대로 지하 392 (동자동) (4호선 서울역),6110-4261
4호선,숙대입구,서울특별시 용산구 갈월동 101,서울특별시 용산구 한강대로 지하 306(갈월동) (숙대입구역),6110-4271
4호선,삼각지,서울특별시 용산구 한강로1가 293,서울특별시 용산구 한강대로 지하 180(한강로1가) (삼각지역),6110-4281
4호선,신용산,서울특별시 용산구 한강로2가 181,서울특별시 용산구 한강대로 지하 112(한강로2가) (신용산역),6110-4291
4호선,이촌,서울특별시 용산구 용산동5가 17,서울특별시 용산구 서빙고로 지하 83(용산동5가) (이촌역),6110-4301
4호선,동작,서울특별시 동작구 동작동 121-5,서울특별시 동작구 현충로 257(동작동) (4호선 동작역),6110-4311
4호선,총신대입구,서울특별시 동작구 동작대로 390,서울특별시 동작구 동작대로 지하 117(사당동) (4호선 총신대입구역),6110-4321
4호선,사당,서울특별시 동작구 사당1동 1112,서울특별시 동작구  동작대로 지하 3(사당동) (4호선 사당역),6110-4331
4호선,남태령,서울특별시 서초구 방배2동 2909,서울특별시 서초구 과천대로 지하 816(방배동) (남태령역),6110-4341
